"S0996","NANSIMO","PUBLIC","tz-ma"
"S0997","MBUGUNI","PUBLIC","tz-as"
"S0998","NG'UNI","PUBLIC","tz-kl"
"S1000","WINGWI","PUBLIC","tz-pn"
"S1001","MBESA","PUBLIC","tz-rv"
"S1004","MNINI","PUBLIC","tz-kl"
"S1005","KISHIMBA","PUBLIC","tz-sh"
"S1009","BABATI DAY","PUBLIC","tz-my"
"S1010","MAKUYUNI","PUBLIC","tz-as"
"S1011","CHANG'OMBE","PUBLIC","tz-ds"
"S1012","SHIMBWE","PUBLIC","tz-kl"
"S1013","CHIEF DODO DAY","PUBLIC","tz-my"
"S1014","GALLAPO","PUBLIC","tz-my"
"S1015","DR. OMAR ALI JUMA","PUBLIC","tz-ma"
"S1017","KIDATU","PUBLIC","tz-mo"
"S1018","PUGE","PUBLIC","tz-tb"
"S1019","KISANGURA","PUBLIC","tz-ma"
"S1020","MACHOCHWE","PUBLIC","tz-ma"
"S1021","RING'WANI","PUBLIC","tz-ma"
"S1022","KAMBANGWA","PUBLIC","tz-ds"
"S1023","NALIENDELE","PUBLIC","tz-mt"
"S1025","INTELA","PUBLIC","tz-do"
"S1026","PUMA","PUBLIC","tz-sd"
"S1027","CHAMWINO","PUBLIC","tz-do"
"S1028","BUTUNDWE","PUBLIC","tz-ge"
"S1029","NASSA","PUBLIC","tz-si"
"S1030","IZIMBYA","PUBLIC","tz-kr"
"S1031","MARUKU","PUBLIC","tz-kr"
"S1032","ITIGI","PUBLIC","tz-sd"
"S1033","AMANI ABEID KARUME","PUBLIC","tz-do"
"S1034","ITILIMA","PUBLIC","tz-si"
"S1035","KWEDIBOMA","PUBLIC","tz-tn"
"S1036","LUBANDA","PUBLIC","tz-mb"
"S1038","J.K. NYERERE","PUBLIC","tz-kl"
"S1039","GITTING","PUBLIC","tz-my"
"S1041","LONGOI","PUBLIC","tz-kl"
"S1042","MUNGAA","PUBLIC","tz-sd"
"S1043","TUKUYU","PUBLIC","tz-mb"
"S1045","DAR-ES-SALAAM","PUBLIC","tz-ds"
"S1046","TUMBATU","PUBLIC","tz-zn"
"S1047","MPAPA","PUBLIC","tz-zs"
"S1048","MWANAKWEREKWE","PUBLIC","tz-zw"
"S1051","MKOLANI","PUBLIC","tz-mw"
"S1053","RAFSANJANI-SOGA","PUBLIC","tz-pw"
"S1054","NYAMIREMBE","PUBLIC","tz-ge"
"S1056","BANGALALA","PUBLIC","tz-kl"
"S1061","MAKIBA","PUBLIC","tz-as"
"S1062","MALENGA","PUBLIC","tz-mb"
"S1063","MULBADAW","PUBLIC","tz-my"
"S1065","MWEMA","PUBLIC","tz-ma"
"S1066","NTUZU","PUBLIC","tz-si"
"S1068","NASIBUGANI","PUBLIC","tz-pw"
"S1069","MLANGALI","PUBLIC","tz-mb"
"S1070","CHAANGAJA CLEOPA MSUYA","PUBLIC","tz-kl"
"S1073","NYANUNGU","PUBLIC","tz-ma"
"S1074","KITANGIRI","PUBLIC","tz-mw"
"S1075","DARAJANI","PUBLIC","tz-kl"
"S1076","MBUNGA","PUBLIC","tz-rv"
"S1079","CHIKUYU","PUBLIC","tz-sd"
"S1082","MTII","PUBLIC","tz-kl"
"S1083","BUMBULI","PUBLIC","tz-tn"
"S1084","VUMA","PUBLIC","tz-rk"
"S1088","TUMBI","PUBLIC","tz-pw"
"S1089","KILIMATINDE","PUBLIC","tz-sd"
"S1090","CHALA","PUBLIC","tz-rk"
"S1091","BUNGURERE","PUBLIC","tz-ma"
